time,open,high,low,close,Volume,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fisher,Signale,Long,Short,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fish1,Fish2,unFish,length,Long,Short
2023-03-07,23.07,23.1,21.68,21.79,1815987,3.5,-3.5,3,2,0,-2,-3,-1.6938330610718153,-1.6061436260276365,0,1,3.5,-3.5,3,2,0,-2,-3,-1.6938330610718153,-1.6061436260276365,-0.7117695230855385,12,0,1
2023-03-08,21.74,22.08,21.62,21.67,694631,3.5,-3.5,3,2,0,-2,-3,-1.9649550844686459,-1.6938330610718153,0,0,3.5,-3.5,3,2,0,-2,-3,-1.9649550844686459,-1.6938330610718153,-0.8068855804673108,12,0,0
2023-03-09,21.84,22.22,21.58,21.71,787585,3.5,-3.5,3,2,0,-2,-3,-2.2817952248116424,-1.9649550844686459,0,0,3.5,-3.5,3,2,0,-2,-3,-2.2817952248116424,-1.9649550844686459,-0.8615474048471647,12,0,0
2023-03-10,22.77,23.33,22.4501,22.74,1144683,3.5,-3.5,3,2,0,-2,-3,-1.996003063566241,-2.2817952248116424,1,0,3.5,-3.5,3,2,0,-2,-3,-1.996003063566241,-2.2817952248116424,-0.6937272744668855,12,1,0
2023-03-13,24.82,25.9288,24.752,25.55,1446245,3.5,-3.5,3,2,0,-2,-3,-1.1336242596518833,-1.996003063566241,0,0,3.5,-3.5,3,2,0,-2,-3,-1.1336242596518833,-1.996003063566241,-0.13479727389281332,12,0,0
2023-03-14,25.6,26.05,25.18,25.27,672205,3.5,-3.5,3,2,0,-2,-3,-0.32237136647127584,-1.1336242596518833,0,0,3.5,-3.5,3,2,0,-2,-3,-0.32237136647127584,-1.1336242596518833,0.23968582649181508,12,0,0
2023-03-15,26.6,26.71,25.33,25.67,1189339,3.5,-3.5,3,2,0,-2,-3,0.3756507134329847,-0.32237136647127584,0,0,3.5,-3.5,3,2,0,-2,-3,0.3756507134329847,-0.32237136647127584,0.49058950374951615,12,0,0
2023-03-16,25.99,26.015,24.8805,25.43,664824,3.5,-3.5,3,2,0,-2,-3,0.8325723018441451,0.3756507134329847,0,0,3.5,-3.5,3,2,0,-2,-3,0.8325723018441451,0.3756507134329847,0.5681230250661327,12,0,0
2023-03-17,26.1,27.62,26,27.24,1436854,3.5,-3.5,3,2,0,-2,-3,1.3047666840639043,0.8325723018441451,0,0,3.5,-3.5,3,2,0,-2,-3,1.3047666840639043,0.8325723018441451,0.710642426794309,13,0,0
2023-03-20,27.01,27.52,26.701,27.3,887218,3.5,-3.5,3,2,0,-2,-3,1.7682614996609263,1.3047666840639043,0,0,3.5,-3.5,3,2,0,-2,-3,1.7682614996609263,1.3047666840639043,0.8061304259521871,13,0,0
2023-03-21,27.41,27.42,26.53,26.97,630604,3.5,-3.5,3,2,0,-2,-3,2.151588387210331,1.7682614996609263,0,0,3.5,-3.5,3,2,0,-2,-3,2.151588387210331,1.7682614996609263,0.8531071002439676,13,0,0
2023-03-22,26.96,28.7599,26.91,28.38,1107883,3.5,-3.5,3,2,0,-2,-3,2.5564017641205035,2.151588387210331,0,0,3.5,-3.5,3,2,0,-2,-3,2.5564017641205035,2.151588387210331,0.9015817571634583,13,0,0
2023-03-23,28.52,29.1,28.25,28.88,853889,3.5,-3.5,3,2,0,-2,-3,2.967514866666436,2.5564017641205035,0,0,3.5,-3.5,3,2,0,-2,-3,2.967514866666436,2.5564017641205035,0.9340597772995172,13,0,0
2023-03-24,29.64,29.8,28.75,28.82,785216,3.5,-3.5,3,2,0,-2,-3,3.3789043330475037,2.967514866666436,0,0,3.5,-3.5,3,2,0,-2,-3,3.3789043330475037,2.967514866666436,0.9558200507906764,12,0,0
2023-03-27,28.39,28.78,28.2,28.75,393951,3.5,-3.5,3,2,0,-2,-3,3.1078083221724366,3.3789043330475037,0,1,3.5,-3.5,3,2,0,-2,-3,3.1078083221724366,3.3789043330475037,0.889255493983238,12,0,1
2023-03-28,28.57,29.49,28.48,29.37,573634,3.5,-3.5,3,2,0,-2,-3,2.917202364957955,3.1078083221724366,0,0,3.5,-3.5,3,2,0,-2,-3,2.917202364957955,3.1078083221724366,0.8771558294717942,12,0,0
2023-03-29,29.08,29.58,29,29.34,421556,3.5,-3.5,3,2,0,-2,-3,3.0328210993842064,2.917202364957955,1,0,3.5,-3.5,3,2,0,-2,-3,3.0328210993842064,2.917202364957955,0.9176944057461021,12,1,0
2023-03-30,30.01,30.8,29.65,30.77,647333,3.5,-3.5,3,2,0,-2,-3,3.2979012096627347,3.0328210993842064,0,0,3.5,-3.5,3,2,0,-2,-3,3.2979012096627347,3.0328210993842064,0.9448552518498885,12,0,0
2023-03-31,31.05,31.48,30.9,31.23,689784,3.5,-3.5,3,2,0,-2,-3,3.635336733254639,3.2979012096627347,0,0,3.5,-3.5,3,2,0,-2,-3,3.635336733254639,3.2979012096627347,0.9630530187394253,12,0,0
2023-04-03,30.78,31.555,30.67,31.01,620523,3.5,-3.5,3,2,0,-2,-3,3.811196041686578,3.635336733254639,0,0,3.5,-3.5,3,2,0,-2,-3,3.811196041686578,3.635336733254639,0.9635674403636347,12,0,0
2023-04-04,31.24,33.7499,31.17,33.7,1130816,3.5,-3.5,3,2,0,-2,-3,4.102416599262212,3.811196041686578,0,0,3.5,-3.5,3,2,0,-2,-3,4.102416599262212,3.811196041686578,0.9755901850436353,12,0,0
2023-04-05,33.22,33.65,32.68,33.51,899081,3.5,-3.5,3,2,0,-2,-3,4.450300208126208,4.102416599262212,0,0,3.5,-3.5,3,2,0,-2,-3,4.450300208126208,4.102416599262212,0.9836454239792356,11,0,0
2023-04-06,33.05,33.66,32.4401,33.37,708709,3.5,-3.5,3,2,0,-2,-3,4.406012329717958,4.450300208126208,0,1,3.5,-3.5,3,2,0,-2,-3,4.406012329717958,4.450300208126208,0.9748086088674499,12,0,1
2023-04-10,33.22,33.37,32.9102,33.35,399954,3.5,-3.5,3,2,0,-2,-3,4.490724088432231,4.406012329717958,1,0,3.5,-3.5,3,2,0,-2,-3,4.490724088432231,4.406012329717958,0.979606473823545,12,1,0
2023-04-11,33.41,33.9953,33.245,33.75,710287,3.5,-3.5,3,2,0,-2,-3,4.735015666655823,4.490724088432231,0,0,3.5,-3.5,3,2,0,-2,-3,4.735015666655823,4.490724088432231,0.9863363374617753,12,0,0
2023-04-12,34.77,35.01,33.8,34.93,927028,3.5,-3.5,3,2,0,-2,-3,6.167709000578111,4.735015666655823,0,0,3.5,-3.5,3,2,0,-2,-3,6.167709000578111,4.735015666655823,0.999,11,0,0
2023-04-13,35.77,36.21,35.32,35.9,794406,3.5,-3.5,3,2,0,-2,-3,6.884055667539256,6.167709000578111,0,0,3.5,-3.5,3,2,0,-2,-3,6.884055667539256,6.167709000578111,0.999,11,0,0
2023-04-14,36.14,36.3,33.93,34.58,1418567,3.5,-3.5,3,2,0,-2,-3,5.04352212983002,6.884055667539256,0,1,3.5,-3.5,3,2,0,-2,-3,5.04352212983002,6.884055667539256,0.9218931768953063,11,0,1
2023-04-17,34.56,34.62,33.04,33.64,898301,3.5,-3.5,3,2,0,-2,-3,3.3382801888586715,5.04352212983002,0,0,3.5,-3.5,3,2,0,-2,-3,3.3382801888586715,5.04352212983002,0.6731708465746642,10,0,0
2023-04-18,33.39,34.38,33.33,34,474291,3.5,-3.5,3,2,0,-2,-3,2.2319690249616797,3.3382801888586715,0,0,3.5,-3.5,3,2,0,-2,-3,2.2319690249616797,3.3382801888586715,0.5100733656467236,11,0,0
